Bike Station,Place,Place Latitude,Place Longitude,Rating,Popularity,Price
Chilco & Barclay,Kingyo Izakaya 金魚居酒屋,49.290643,-123.136956,No rating available,No popularity available,No price available
Chilco & Barclay,Tavola,49.291843,-123.135761,No rating available,No popularity available,No price available
Chilco & Barclay,Peaked Pies,49.28964,-123.138493,No rating available,No popularity available,No price available
Chilco & Barclay,Guu with Garlic,49.290278,-123.133923,No rating available,No popularity available,No price available
Chilco & Barclay,Legendary Noodle House,49.288425,-123.139849,No rating available,No popularity available,No price available
Chilco & Barclay,Delany's Coffee House,49.288307,-123.140488,No rating available,No popularity available,No price available
Chilco & Barclay,Cactus Club Cafe,49.28666,-123.14278,No rating available,No popularity available,No price available
Chilco & Barclay,Zakkushi Japanese Restaurant,49.291138,-123.136268,No rating available,No popularity available,No price available
Chilco & Barclay,Nero Belgian Waffle Bar,49.290654,-123.133874,No rating available,No popularity available,No price available
Chilco & Barclay,Marutama Ra-men,49.290515,-123.133538,No rating available,No popularity available,No price available
Chilco & Barclay,CRAFT Beer Market English Bay,49.286629,-123.14221,No rating available,No popularity available,No price available
Chilco & Barclay,Saku,49.291333,-123.134825,No rating available,No popularity available,No price available
Chilco & Barclay,Chung Chun Rice Hotdog,49.291199,-123.134732,No rating available,No popularity available,No price available
Chilco & Barclay,The Inukshuk,49.284303,-123.143552,No rating available,No popularity available,No price available
Chilco & Barclay,Greenhorn Cafe,49.286624,-123.133935,No rating available,No popularity available,No price available
Chilco & Barclay,Cardero Bottega,49.287092,-123.135598,No rating available,No popularity available,No price available
Chilco & Barclay,Pappa Roti,49.28892,-123.13113,No rating available,No popularity available,No price available
Chilco & Barclay,Ramen Danbo - Robson,49.287499,-123.12898,No rating available,No popularity available,No price available
Chilco & Barclay,Cardero's Restaurant & Marine Pub,49.291554,-123.127461,No rating available,No popularity available,No price available
Chilco & Barclay,Ukrainian Village Restaurant,49.291374,-123.135883,No rating available,No popularity available,No price available
Chilco & Barclay,Starbucks,49.287236,-123.141532,No rating available,No popularity available,No price available
Chilco & Barclay,Kosoo Restaurant,49.289064,-123.132602,No rating available,No popularity available,No price available
Chilco & Barclay,Blenz Coffee,49.290242,-123.137571,No rating available,No popularity available,No price available
Chilco & Barclay,Red Umbrella Cafe,49.286418,-123.140245,No rating available,No popularity available,No price available
Chilco & Barclay,Sylvia's Bar,49.288559,-123.142618,No rating available,No popularity available,No price available
Chilco & Barclay,Take 5 Cafe,49.290304,-123.128896,No rating available,No popularity available,No price available
Chilco & Barclay,Marble Slab Creamery,49.287329,-123.141459,No rating available,No popularity available,No price available
Chilco & Barclay,Viet Sub,49.290103,-123.133665,No rating available,No popularity available,No price available
Chilco & Barclay,H Tasting Lounge,49.29228,-123.128821,No rating available,No popularity available,No price available
Chilco & Barclay,The Park at English Bay,49.286922,-123.140937,No rating available,No popularity available,No price available
Chilco & Barclay,Cora Breakfast & Lunch,49.287551,-123.129634,No rating available,No popularity available,No price available
Chilco & Barclay,Stanley Park Brewing Restaurant & Brewpub,49.292295,-123.146508,No rating available,No popularity available,No price available
Chilco & Barclay,Menya Itto,49.288683,-123.130623,No rating available,No popularity available,No price available
Chilco & Barclay,Cafe Villaggio,49.291204,-123.127837,No rating available,No popularity available,No price available
Chilco & Barclay,Akira Sushi,49.288636,-123.140029,No rating available,No popularity available,No price available
Chilco & Barclay,Banana Leaf,49.291374,-123.13499,No rating available,No popularity available,No price available
Chilco & Barclay,Breaking Bean,49.291395,-123.129719,No rating available,No popularity available,No price available
Chilco & Barclay,A&W Restaurant,49.28964,-123.138493,No rating available,No popularity available,No price available
Chilco & Barclay,Stepho's Souvlaki Greek Taverna,49.287674,-123.129239,No rating available,No popularity available,No price available
Chilco & Barclay,H2 Kitchen + Bar,49.292136,-123.129133,No rating available,No popularity available,No price available
Chilco & Barclay,Gillaneh Grill House,49.288461,-123.139771,No rating available,No popularity available,No price available
Chilco & Barclay,Casa Dolce Gelato & Coffee,49.290849,-123.127076,No rating available,No popularity available,No price available
Chilco & Barclay,Izakaya Gon's,49.290813,-123.136078,No rating available,No popularity available,No price available
Chilco & Barclay,Olympia Restaurant,49.289408,-123.138229,No rating available,No popularity available,No price available
