Bike Station,Place,Place Latitude,Place Longitude,Rating,Review Count,Price
Chilco & Barclay,Kingyo,49.29073911099211,-123.13705023185994,4.4,1224,$$
Chilco & Barclay,Nook,49.2917554,-123.1352974,4.2,331,$$
Chilco & Barclay,Tavola,49.2918164,-123.1357186,4.4,394,$$$
Chilco & Barclay,Guu with Garlic,49.290249,-123.1338142,4.3,1098,$$
Chilco & Barclay,Noah's Cafe,49.28827635407216,-123.1400279,4.7,47,No price available
Chilco & Barclay,Jinmi,49.290812,-123.13607,4.5,25,No price available
Chilco & Barclay,Saku,49.289223,-123.132266,4.4,465,$$
Chilco & Barclay,Robba da Matti West End,49.29172,-123.13857,3.9,85,No price available
Chilco & Barclay,Tre Viet,49.28812950568292,-123.1403068,4.7,23,No price available
Chilco & Barclay,Peaked Pies,49.2896489,-123.1384797,4.4,215,$$
Chilco & Barclay,Jingle Bao,49.291609,-123.134917,4.1,210,$$
Chilco & Barclay,The Red Accordion,49.29025,-123.131768,4.7,124,$$
Chilco & Barclay,Café Portrait,49.2881056129168,-123.140413686633,4.4,79,No price available
Chilco & Barclay,Frying Pan,49.28835486722387,-123.1404394134939,4.4,41,No price available
Chilco & Barclay,Chef Ron,49.28905,-123.13951,4.0,11,No price available
Chilco & Barclay,Dinesty Dumpling House,49.2908176,-123.1343912,3.9,1006,$$
Chilco & Barclay,Vonns,49.28724,-123.14124,4.6,61,No price available
Chilco & Barclay,Damso Modern Korean Cuisine,49.29063165285682,-123.13696164681824,3.9,215,$$
Chilco & Barclay,Zakkushi on Denman,49.291208,-123.136248,4.2,271,$$$
Chilco & Barclay,CRAFT Beer Market,49.2864807,-123.142214,4.0,48,No price available
Chilco & Barclay,Jungle Room,49.289897,-123.138111,3.9,34,No price available
Chilco & Barclay,Los Chavos Mexican Restaurant & Cantina,49.291058,-123.136479,4.4,12,No price available
Chilco & Barclay,España Restaurant,49.2880552,-123.1404114,4.2,263,$$
Chilco & Barclay,Dan Dan Noodle,49.2909697,-123.1359801,4.3,30,No price available
Chilco & Barclay,Cactus Club Cafe,49.28689653721021,-123.14273036,3.7,369,$$
Chilco & Barclay,Maruhachi Ra-men,49.2905691,-123.1333951,4.3,791,$$
Chilco & Barclay,Big Bang Sushi,49.2883087715973,-123.140502534807,4.8,29,No price available
Chilco & Barclay,Sylvia's Restaurant and Lounge,49.28864,-123.14242,3.1,102,$$
Chilco & Barclay,Ukrainian Village,49.2914123,-123.1358196,4.1,180,$$
Chilco & Barclay,Banana Leaf,49.2914,-123.13492,3.6,187,$$
Chilco & Barclay,Donair Town Robson,49.2914429,-123.1351318,4.3,84,$
Chilco & Barclay,Babylon Restaurant and Bar,49.287368,-123.1413811,4.6,5,No price available
Chilco & Barclay,Ong Ba,49.2895502300818,-123.138065747917,4.1,37,No price available
Chilco & Barclay,Yasma,49.29337295420655,-123.1321844713631,4.6,34,No price available
Chilco & Barclay,Papi's Seafood and Oyster Bar,49.2877438,-123.1413624,3.6,68,No price available
Chilco & Barclay,Sula Indian Restaurant - Davie Street,49.2862525,-123.14058433186014,4.2,18,No price available
Chilco & Barclay,Beeryani Indian Bistro & Bar,49.28724,-123.14124,4.5,38,No price available
Chilco & Barclay,Tonkotsu Ramen Tsukiya,49.29179,-123.13449,4.3,15,No price available
Chilco & Barclay,Nine Dumplings,49.289525,-123.132907,4.4,48,No price available
Chilco & Barclay,Nomnom Seoul,49.289901,-123.133681,4.3,11,No price available
Chilco & Barclay,Sura Korean Cuisine,49.2888601838143,-123.131742169312,4.1,461,$$
Chilco & Barclay,Mumu Kitchen,49.2865679,-123.1410355,3.7,31,$$
Chilco & Barclay,kin's food&bistro,49.29153,-123.135023,4.1,9,No price available
Chilco & Barclay,Kitanoya Guu Garlic,49.29065,-123.133761,4.4,15,No price available
Chilco & Barclay,Istanbul Doner,49.28943470426879,-123.13833124959088,4.6,7,No price available
Chilco & Barclay,Arike Restaurant,49.2868046,-123.1408561,4.8,30,No price available
Chilco & Barclay,Bombay Kitchen + Bar,49.288712,-123.140107,4.0,4,No price available
Chilco & Barclay,Stanley's Bar & Grill,49.2997083,-123.1339011,3.3,121,$$
Chilco & Barclay,Ramen Danbo,49.2874959131639,-123.128934167326,4.4,686,$$
Chilco & Barclay,93 Coffee,49.28853156299956,-123.1392191,4.6,18,No price available
St George & Broadway,The Farmhouse,49.26185879464837,-123.09710762514682,4.2,30,No price available
St George & Broadway,Kin Kao Song,49.2629749,-123.0986667,4.4,42,No price available
St George & Broadway,Carp,49.262354,-123.0958273,4.4,90,$$
St George & Broadway,Sprezzatura,49.2613547,-123.0978287,4.0,71,No price available
St George & Broadway,Osteria Savio Volpe,49.2574913,-123.0909344,4.2,473,$$$
St George & Broadway,Maizal RMF,49.2600097,-123.1012988,4.3,156,$$
St George & Broadway,Fable Diner,49.2630749,-123.1019822,3.9,350,$$
St George & Broadway,Les Faux Bourgeois,49.2572813531481,-123.089767330802,3.9,496,$$
St George & Broadway,Mercato Di Luigi,49.259654006064046,-123.0913247,4.6,10,No price available
St George & Broadway,Sing Sing,49.2607122038635,-123.100685477257,3.8,138,$$
St George & Broadway,Burgoo Bistros,49.25765498958033,-123.100815,3.9,520,$$
St George & Broadway,Anh and Chi,49.2550314422938,-123.100882202153,4.0,728,$$$
St George & Broadway,El Gato Gab Gab,49.261519745912125,-123.10071881305706,5.0,2,No price available
St George & Broadway,The Cascade Room,49.2617,-123.10062,3.8,247,$$
St George & Broadway,Como Taperia,49.2647449,-123.1006898,3.8,100,No price available
St George & Broadway,Zarak By Afghan Kitchen,49.266224,-123.1006089,4.5,125,No price available
St George & Broadway,Published On Main,49.25283186017385,-123.10116032897228,4.3,162,No price available
St George & Broadway,AJ's Brooklyn Pizza Joint,49.2629437687572,-123.098307028413,4.2,171,$$
St George & Broadway,Good Thief,49.25534,-123.10106,4.4,13,No price available
St George & Broadway,Los Cuervos Taqueria Y Cantina,49.2574755005862,-123.091043941677,3.8,192,$$
St George & Broadway,Hail Mary's,49.2623351,-123.0894392,4.4,19,No price available
St George & Broadway,Sushi Mura,49.2578843,-123.10079837291288,5.0,3,No price available
St George & Broadway,Fassil Ethiopian Restaurant,49.262316686122,-123.08833077466,4.3,155,$$
St George & Broadway,Klasik Inasal & Noodle Express,49.2623351,-123.0900107,3.8,18,No price available
St George & Broadway,Tocador,49.261764,-123.1008072,3.7,53,$$
St George & Broadway,Tamaly Shop,49.26245336478017,-123.1012765,4.0,8,No price available
St George & Broadway,Sal y Limón,49.2569043786921,-123.08924632997,3.9,679,$$
St George & Broadway,Burdock,49.26092,-123.10066,3.5,203,$$
St George & Broadway,Noor Convenience & Donair,49.262312,-123.089299,4.1,37,$$
St George & Broadway,The Greek By Anatoli - Broadway,49.26283913055831,-123.11245392872092,4.4,12,No price available
St George & Broadway,Don Porfirio,49.263853301066966,-123.10164503753188,4.0,3,No price available
St George & Broadway,Blaze Gourmet Burgers,49.266709,-123.103814,4.5,38,$$
St George & Broadway,Pizzeria Barbarella,49.262323801504,-123.08982824163,3.8,210,$$
St George & Broadway,Kaori Izakaya,49.2579727,-123.1013667,3.9,41,No price available
St George & Broadway,Foys Irish Bar,49.26037927053808,-123.09669106994056,3.0,1,No price available
St George & Broadway,Elem Vancouver,49.266199,-123.100564,4.7,3,No price available
St George & Broadway,AM Cafe,49.26214,-123.09476,3.0,1,No price available
St George & Broadway,Via Tevere Main Street,49.256294,-123.100928,4.8,4,No price available
St George & Broadway,Tatta Chulha,49.26307302443682,-123.1018777,4.5,32,No price available
St George & Broadway,Field & Social,49.26633879305916,-123.10413366618288,3.8,4,No price available
St George & Broadway,Afuri Ramen + Dumpling,49.25994,-123.10151,3.7,32,No price available
St George & Broadway,District Eleven,49.2489934,-123.1012049,4.1,41,No price available
St George & Broadway,Suyo Modern Peruvian,49.2540292,-123.1010659958052,4.5,45,No price available
St George & Broadway,Sushi Yama,49.2629732219511,-123.097187697268,3.3,253,$$
St George & Broadway,El Camino's,49.2561154,-123.1010503,3.4,220,$$
St George & Broadway,Ramen Kounotori,49.249832,-123.100779,4.5,22,No price available
St George & Broadway,Sushi Hil,49.2554661,-123.1011451,4.6,41,No price available
St George & Broadway,The Pleasant,49.263366943925874,-123.1007219,3.3,6,No price available
St George & Broadway,Nuba - Mount Pleasant,49.26797,-123.10171,3.8,172,$$
St George & Broadway,Casa Della Pasta,49.26964,-123.09803,4.2,5,No price available
Britannia Parking Lot,Kin Kao Thai Kitchen,49.276516,-123.0696335,3.9,180,$$
Britannia Parking Lot,Lunch Lady,49.27497,-123.06915,4.1,269,$$
Britannia Parking Lot,Pepino's,49.2787695,-123.0705849,4.1,166,$$$
Britannia Parking Lot,Sopra Sotto,49.2711051,-123.0694651,4.0,156,$$
Britannia Parking Lot,Cozen,49.2715238,-123.0697249,4.6,23,No price available
Britannia Parking Lot,Sing Sing,49.2741085,-123.0698051,4.2,6,No price available
Britannia Parking Lot,Caffe La Tana,49.2788597356837,-123.070581380828,4.5,51,No price available
Britannia Parking Lot,Magari by Oca,49.27338,-123.06934522558733,5.0,3,No price available
Britannia Parking Lot,Downlow Chicken Shack,49.2765067,-123.0696349,4.1,288,$$
Britannia Parking Lot,Bar Corso,49.2707051,-123.0694651,4.4,20,No price available
Britannia Parking Lot,Takenaka,49.2783093,-123.0755801,4.3,101,$$
Britannia Parking Lot,Mogu Fried Chicken,49.2756074483614,-123.069326430559,4.7,32,No price available
Britannia Parking Lot,B House,49.264473795087,-123.069533295929,4.3,33,No price available
Britannia Parking Lot,Harbour Oyster + Bar,49.2718946138822,-123.069181591272,4.1,86,$$
Britannia Parking Lot,Via Tevere Pizzeria,49.27387530438791,-123.06553445802784,4.1,359,$$
Britannia Parking Lot,Havana,49.273708,-123.069271,3.5,409,$$
Britannia Parking Lot,Absinthe Bistro,49.27607,-123.0692457,4.6,149,$$$
Britannia Parking Lot,Sula Indian Restaurant,49.2745279,-123.0693263,4.1,300,$$
Britannia Parking Lot,Nonna's Cucina,49.280915,-123.060235,4.6,35,No price available
Britannia Parking Lot,Kulinarya,49.2744901,-123.0693269,3.9,74,$$
Britannia Parking Lot,La Mezcaleria,49.2702237,-123.0694136,3.8,313,$$
Britannia Parking Lot,Nonna's Cucina,49.2692,-123.06944,3.9,14,No price available
Britannia Parking Lot,Aleph Eatery,49.2849288,-123.065795,4.4,91,$$
Britannia Parking Lot,Thai Basil,49.27416,-123.06996,3.8,50,$
Britannia Parking Lot,Royal Palace Seafood,49.28144,-123.06023,4.5,20,$$
Britannia Parking Lot,Don Oso's,49.27283657548601,-123.06985180824996,3.6,17,No price available
Britannia Parking Lot,Merci Beaucoup Cafe,49.2714944,-123.0694551,4.0,31,No price available
Britannia Parking Lot,Kozu Sushi Pizza,49.27827,-123.07566,4.3,21,No price available
Britannia Parking Lot,Urban Tadka,49.27827,-123.07566,4.4,9,No price available
Britannia Parking Lot,Yolks,49.281081,-123.072931,3.7,462,$$
Britannia Parking Lot,Bombay Kitchen and Bar,49.2753791,-123.06925001456972,4.1,68,No price available
Britannia Parking Lot,Kishimoto Japanese Kitchen,49.2665099,-123.06935,4.4,542,$$$
Britannia Parking Lot,Eternal Abundance,49.2755401,-123.0696449,4.0,126,$$
