Place,Latitude,Longitude,Yelp Rating,Review Count
Kingyo Izakaya 金魚居酒屋,49.290643,-123.136956,4.4,1223
Tavola,49.291843,-123.135761,4.4,394
Peaked Pies,49.28964,-123.138493,4.4,215
Guu with Garlic,49.290278,-123.133923,4.3,1098
Legendary Noodle House,49.288425,-123.139849,3.7,245
Cactus Club Cafe,49.28666,-123.14278,4.2,958
Delany's Coffee House,49.288307,-123.140488,3.8,106
Zakkushi Japanese Restaurant,49.291138,-123.136268,4.2,271
Nero Belgian Waffle Bar,49.290654,-123.133874,4.4,572
Marutama Ra-men,49.290515,-123.133538,4.3,791
CRAFT Beer Market English Bay,49.286629,-123.14221,4.0,48
Saku,49.291333,-123.134825,4.3,269
The Inukshuk,49.284303,-123.143552,4.5,15
Greenhorn Cafe,49.286624,-123.133935,4.0,193
Cardero Bottega,49.287092,-123.135598,4.0,66
Pappa Roti,49.28892,-123.13113,4.0,271
Ramen Danbo - Robson,49.287499,-123.12898,4.4,686
Cardero's Restaurant & Marine Pub,49.291554,-123.127461,3.9,723
Ukrainian Village Restaurant,49.291374,-123.135883,4.1,180
Marble Slab Creamery,49.287329,-123.141459,3.3,89
Starbucks,49.287236,-123.141532,4.5,4
Kosoo Restaurant,49.289064,-123.132602,3.7,182
Sura,49.288894,-123.131696,4.1,461
Red Umbrella Cafe,49.286418,-123.140245,3.6,206
Blenz Coffee,49.290242,-123.137571,3.1,14
Sylvia's Bar,49.288559,-123.142618,3.1,102
Viet Sub,49.290103,-123.133665,4.1,284
H Tasting Lounge,49.29228,-123.128821,4.0,100
Take 5 Cafe,49.290304,-123.128896,3.8,20
Cora Breakfast & Lunch,49.287551,-123.129634,3.7,145
Stanley Park Brewing Restaurant & Brewpub,49.292295,-123.146508,3.4,16
The Park at English Bay,49.286922,-123.140937,3.7,76
Menya Itto,49.288683,-123.130623,3.8,54
Cafe Villaggio,49.291204,-123.127837,3.6,81
Mo-Mo Sushi House,49.290288,-123.134411,3.5,162
Banana Leaf,49.291374,-123.13499,3.7,333
Breaking Bean,49.291395,-123.129719,4.3,48
A&W Restaurant,49.28964,-123.138493,3.4,42
H2 Kitchen + Bar,49.292136,-123.129133,3.7,85
Casa Dolce Gelato & Coffee,49.290849,-123.127076,No rating,No review count
Olympia Restaurant,49.289408,-123.138229,3.2,153
Shamrock Alley,49.287288,-123.141293,2.9,37
The Calling Public House,49.287036,-123.141839,3.9,229
Zeitoon Restaurant,49.287967,-123.140459,2.9,147
Tim Hortons,49.289295,-123.139112,2.3,24
Blenz Coffee,49.289661,-123.132329,3.1,14
Table for Two,49.290849,-123.140462,4.4,7
Robba da Matti,49.29175,-123.138511,4.2,540
Chongqing Liuyishou HotPot Restaurant,49.288997,-123.13211,4.3,56
Jungle Room,49.28999,-123.138117,3.9,34
AJ's Brooklyn Pizza Joint,49.262989,-123.098175,4.3,170
The Gluten Free Epicurean,49.257337,-123.090395,4.1,140
Osteria Savio Volpe,49.257425,-123.09097,4.2,472
Matchstick Coffee,49.257296,-123.090229,3.9,219
Nemesis Coffee,49.267091,-123.092602,4.4,302
Cartems Donuterie,49.265642,-123.100591,3.7,150
Sal y Limon,49.256878,-123.08922,3.9,679
33 Acres Brewing Co,49.263877,-123.105307,3.8,227
49th Parallel Coffee Roast,49.259164,-123.100851,3.9,203
Brassneck Brewery,49.265811,-123.100605,4.3,185
Elysian Coffee,49.264531,-123.105038,3.7,223
Main Street Brewing Co,49.264745,-123.099216,3.7,67
Toshi Sushi,49.256698,-123.101858,4.3,466
The Federal Store,49.261909,-123.103193,4.3,45
Hime Japanese Restaurant,49.262963,-123.09874,3.6,94
12 Kings Pub,49.260337,-123.096652,3.8,226
Fox Cabaret,49.264298,-123.101206,3.2,47
Anh and Chi,49.255019,-123.100904,4.0,728
R & B Brewing Inc,49.26727,-123.103568,No rating,No review count
Pure Bread,49.266631,-123.104568,4.4,450
Kranky Cafe,49.267206,-123.09975,4.2,47
Nuba Natural Foods,49.268077,-123.10169,4.0,817
Ignite Pizzeria,49.262233,-123.100706,4.6,36
Narrow Lounge,49.268334,-123.100495,3.8,127
Fife Bakery,49.268088,-123.10307,4.2,70
Red Truck Beer,49.268585,-123.097272,3.9,93
Uncle Abe's,49.258129,-123.100925,3.6,18
33 Brewing Experiment,49.263903,-123.105634,3.8,227
Sushi Hil,49.255379,-123.101015,4.6,41
Burdock & Co,49.260915,-123.100756,3.5,203
JJ's Trucketeria,49.263835,-123.102465,No rating,No review count
Sing Sing Beer Bar,49.260652,-123.100815,3.8,138
Electric Bicycle Brewing,49.267115,-123.104285,4.3,36
JJ Bean Coffee Roasters,49.258242,-123.100935,4.0,114
Colony Bar Main Street,49.258994,-123.100836,3.8,127
Tacofino Ocho,49.266312,-123.104622,2.9,92
Gene Coffeebar,49.263721,-123.100671,3.0,100
Forecast Coffee,49.258541,-123.100798,3.3,35
Bells and Whistles,49.255678,-123.089524,3.0,129
Lucy's Eastside Diner,49.260971,-123.100761,3.1,353
Pho Long Restaurant,49.254901,-123.090188,3.3,53
Caffe Barney,49.262516,-123.10073,3.2,159
